"projectNr" "projectRegion" "sponsor" "Approved" "Signed" "enterpriseBase" "totalProjectCost" "riskManagement" "guarantee" "loan" "equity" "URL"
"25695" NA "The shareholding structure of Chifeng MFI is expected to consist of Inner Mongolia Zhongxing Coal Mining Group - Zhongxing Group  (51%), ACCION International (19%), IFC (15%), and one or two other international development agencies (taking up the remainder). Zhongxing Group is one of the largest private enterprises in Inner Mongolia. The group’s major business is in the mining and processing of coal, iron ore and salt, as well as construction of highways and management of the development and operation of mineral water. Currently Zhongxing Group is diversifying into financial services, and views the Chifeng MFI as an important strategic initiative in this direction.  ACCION International is a world pioneer in microfinance, and has played a key role in the launch, expansion, and success of more than 30 of the world’s leading microfinance institutions. ACCION’s partner MFIs today are providing loans as low as $100 to poor entrepreneurs in 22 countries in Latin America, the Caribbean, Asia, and sub-Saharan Africa, and in more than 35 U.S. cities and towns. Together with its partner MFIs, ACCION has disbursed $7.6 billion in micro loans to more than 4.7 million borrowers since 1992, with a historical repayment rate of 97%. In 2006, ACCION network has put credit in the hands of more than 2.0 million people. ACCION will be the strategic foreign partner for the project and is putting together a team of experts to help manage Chifeng MFI for the first few years." NA "2007-11-16" "Mongolia" "The total project cost is estimated at RMB50 million ($6.5 million) which is the expected capitalization of Chifeng MFI.  The proposed IFC investment is up to $1 million for a 15% equity stake in the company." "" "" "" "0" "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/94505da2eda82070852576ba000e29ac?OpenDocument"
"25700" "Middle East and North Africa" "The project sponsor is Anwal, a privately owned Saudi Arabian company.  Anwal has been an active player in the Retail Sector since the late 1980’s and operates a chain of 150 department stores in Saudi Arabia and Kuwait. Its shareholders are Jameel, Riad and Ibrahim Qnebeit who control over 90% of Anwal." "2007-06-18" "2007-06-20" "Egypt and/or Saudi Arabia" "The total project cost is approximately $207.5 million and includes an acquisition cost of $102.5 million plus $105 million needed for the company’s development plan. The proposed investment includes an A loan for IFC’s own account of $40 million and an equity investment of $6 – $10 million." "" "" "40" "8.5" "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/29ade1a7d255fa1d852576ba000e29db?OpenDocument http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/d257b6c533749396852576ba000e29df?OpenDocument"
"25701" NA "Over half of the BDO shares are owned by the SM Group, primarily through SM Investments Corporation (SMIC), the holding company controlled by the Sy family.  SMIC has investments in retailing, shopping malls, banking and finance, property, and tourism.  The other main shareholders are the Philippine Social Security System (14.89%), Trans Middle East Phils. Equities (4.11%), the IFC (1.38%), and United Overseas Bank Ltd. (0.99%).  About 23.72% of the shares are traded freely in the Philippine stock market." "2007-11-15" "2007-11-15" "Not found or country name unknown" "The proposed IFC investment is participation in BDO’s Tier 2 notes up to $150 million." "" "" "149.4" "" "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/9615294f49cf2b6d852576ba000e2ab0?OpenDocument"
"25704" NA "Bank Societe Generale acquired a controlling stake of 60% in Bank Republic in September 2006 while European Bank for Reconstruction and Development (EBRD) bought another 10%.  Societe Generale is one of the largest banking groups in Europe with shareholders’ equity of 26.5 billion Euro as of end-September 2006 and an AA credit rating from S&P.  SG is IFC’s global partner in six different financial institutions, in Russia, Ukraine, and Jordan.   The remaining 30% of Bank Republic are held by two local individual shareholders." "2007-08-01" "2007-09-20" "Georgia" "The transaction consists of a financing package of up to $20 million to Bank Republic. The senior loan of up to $10 million for expansion of the Bank’s SME lending activities will be provided to the Bank early in 2007. The remaining $10 million is expected to be provided at a later stage." "" "" "20" "" "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/566115735fafafe5852576ba000e297d?OpenDocument"
"25711" "Europe and Central Asia" "Banvit is majority-owned by the members of the Görener, Koçman and Ebubekir families (79% total) while 19% of the shares traded on the Istanbul Stock Exchange and 2.5% owned by IFC." "2007-05-10" "2007-05-21" "Turkey" "$72 million equivalent.  The proposed IFC investment is an A Loan of up to $25 million" "" "" "35" "" "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/2fb7afe9e97ef06a852576ba000e29cc?OpenDocument http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/7147f79dda694553852576ba000e29ca?OpenDocument"
"25717" NA "The Fierro family, controlled today by Guillermo Fierro, founded an industrial family group (Grupo Fierro) in the 1940s.  Grupo Fierro employs about 10,000 full-time employees in 12 countries.  In Peru, Grupo Fierro’s economic group controls 10 companies.  Grupo Fierro founded its financial arm (Grupo Bancario IF or the Group) as a result of its success and expansion of its industrial operations in a number of Latin American countries.  BIF is controlled by Grupo Bancario IF.  Grupo Bancario IF initiated its banking operations in the 1960’s and currently controls six banks located in Venezuela, Peru, Ecuador, Guatemala, Curacao, and in the US.  The Group delivers a wide array of products and services in the areas of retail and corporate banking." "2007-04-05" "2007-05-02" "Peru" "IFC will invest $18 million in subordinated debt." "" "" "18" "" "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/06c6e55335cfffca852576ba000e297e?OpenDocument"
"25720" NA "The project sponsor is Duoc.  Duoc was founded in 1968 as a department of the Pontificia Catholic University of Chile (Universidad Católica) with the purpose of providing training in technical skills. In 1973 Duoc was established as a separate independent institution -- Duoc Foundation -- a private non-profit institution. In 1990, the government of Chile reconfigured the country’s education system, establishing 3 distinct types of institutions: universities, vocational institutes and technical training centers.  Duoc was recognized as an autonomous institution with two academic charters, a vocational institute and a technical training center.   Given its non-profit status, the institution is presided over by a Board of Directors with regulatory and oversight functions." "2007-06-22" "2007-06-27" "Chile" "The proposed size of the facility is $50 million equivalent, which covers expected student loan demand for three student cohorts.  The proposed IFC investment is a $ 18.75 million equivalent risk participation, which would be drawn on after the First loss is utilized." "" "19.29" "" "" "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/8cd848044ebd31e5852576ba000e2a08?OpenDocument"
"25722" NA "The Manager will be led by Edwin Soeryadjaya and Sandiaga Uno who have worked together since 1998 and managed the Saratoga Capital Group, an informal Indonesian country fund that raised capital for investments on a deal-by-deal basis.  The Manager intends to raise Saratoga II as an institutional fund with a formal fund structure and governance, and has recruited Kay Mock, a senior investment professional from the Government of Singapore Investment Corporation (GIC) to meet this need.  In addition, the Manager is in advanced stages of hiring more investment professionals with experience in private equity, investment banking and strategic consulting in Southeast Asia." "2007-07-10" "2007-11-13" "Indonesia and/or Singapore" "It is proposed that IFC invest up to $25 million." "" "" "" "25" "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/3caa17c6bfcb00c1852576ba000e29c1?OpenDocument"
"25727" NA "Cyrano Fund Manager (Cyrano or the Fund) is a specialized microfinance funds management firm based in Lima, Peru. In addition to GMF, Cyrano has developed and managed two specialized microfinance funds: the Latin American Challenge Investment fund (LA-CIF), and Solidus (a specialized Tier II capital investment vehicle). The Managing Director of Cyrano, Mr. Fernando Lucano, is an experienced investor in MFIs having worked in Africa, Eastern Europe, and Latin America. Cyrano will manage the vehicles and be responsible for all investment proposals. Cyrano has a qualified staff responsible for the following: - identifying potential investments;  - negotiating and structuring investments;  - monitoring the portfolio; - managing the flow of funds from the investments to investors and the Facility; and - anticipating growth trends and MFI needs." "2008-01-10" NA "Peru" "The Fund will have a targeted asset base of $100 million in phase I with a target to reach $500 over the next few years. The funding structure will be composed of equity, mezzanine investments and senior debt. IFC’s investment consists of a direct investment in equity and a partial credit guarantee for multi-currency bond issue in PEN-Peruvian Soles and MXN-Mexican Pesos." "" "35.13" "" "2.5" "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/3a478c92d12f0bfe852576ba000e2a42?OpenDocument"
"25731" NA "Established in 1992 through a merger of four credit cooperatives, Sacombank is currently one of the largest joint-stock banks in Vietnam. It offers comprehensive commercial banking services, primarily to SMEs and individuals. The Bank has a diversified shareholding structure, with major shareholders including Refrigeration Electrical Engineering Corporation (5%), Dragon Financial Holdings (7.17%), ANZ (9.87%), IFC (7.3%), as well as some 15,000 individuals.  The Bank currently ranks first amongst local private banks in terms of capital ($160 million) and second in terms of total assets ($1.55 billion). It is also one of the most efficient and profitable banks in Vietnam, with the annualized ROAA of 2.08% and annualized ROE of 20.56% as of December 31, 2006. Sacombank was the first bank to be listed on the stock market in Vietnam." "2007-06-18" "2007-06-27" "Not found or country name unknown" "The proposed IFC investment is a credit-linked guarantee, which will back a local-currency loan to Sacombank of up to $50 million equivalent from one or several local life insurance companies, with an expected tenor of between 10-15 years. Alternatively, IFC will provide funds to Sacombank directly." "" "" "49.87" "" "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/e2eb8ebcda045fec852576ba000e29f4?OpenDocument"
"25740" "Europe and Central Asia" "Sarten is directly (68%) or through Kinali Ambalaj (32%) owned by  the members of Saribekir family, namely Mr. Zeki Saribekir, 41.6%, Mr. Yusuf Saribekir, 19.7%, Ms. Zeren Saribekir, 19.4%, and Ms. Zeynep Oguz, 19.4%. Sarten is the main business of the Saribekir family. The family’s other businesses include green-house farming and running a BP petroleum station in Silivri." "2007-06-14" "2007-06-15" "Not found or country name unknown" "The estimated project cost is estimated at $50 million. The proposed IFC investment is an A loan up to $25 million equivalent." "" "" "20" "" "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/3c573372f0e801b0852576ba000e29f0?OpenDocument http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/8111243218ee2f8a852576ba000e29f1?OpenDocument"
"25745" NA "The partners in the JVC will be one of the four asset management companies in China and an entity managed by GE Commercial Finance, one of the leading players in distressed assets business in Asia." "2007-08-02" "2007-08-31" "China" "The proposed registered capital of the JVC will be around $300 – 400 million.  IFC is to make an equity investment for 14% equity stake in the JVC." "" "0" "0" "55.26" "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/ab9874cd1a21eebd852576ba000e2a47?OpenDocument"
"25747" NA "Telekom Malaysia (TM) is the leading telecommunications company in Malaysia, providing voice and data services through its fixed-line, mobile, and Internet subsidiaries. TM is listed on the Kuala Lumpur Stock Exchange. TM has extensive experience in building and operating mobile networks in developing countries with operations in Sri Lanka, Bangladesh, Pakistan, India, Indonesia, Singapore, Cambodia, Thailand, Malawi, Guinea, and Iran. Together, its operations have more than 34 million subscribers." "2007-08-02" "2007-09-21" "Sri Lanka" "Total project cost is estimated to be $676 million and covers the expansion of the mobile telephony business, and the entry into the Pay TV, broadband, fixed wireless markets. IFC’s investment for its own account would be up to $100 million.  Equity contributions from the shareholders, an ECA guaranteed international loan facility and local finance would provide the balance of the required funding." "" "" "70" "30" "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/4810133743fdfc60852576c10080cd33?OpenDocument"
"25748" "East Asia and the Pacific" "Nature is currently wholly-owned by Mr. Se Hok Pan and his family.  Mr. Se is one of the leading entrepreneurs in China’s wood manufacturing sector and holds several important positions in industry associations and has over 20 years of experience in wood flooring industry since 1987 when he and his family started the wood flooring trading business in Shunde.  Mr. Se is the majority shareholder owner of the company; other minority shareholders include Mr. Se’s wife, his brother and two other founding shareholders." "2008-05-16" "2008-05-21" "Not found or country name unknown" "The cost of the Project is estimated at $120 million.  IFC’s proposed investment includes a quasi-equity/equity investment of $20 million and a long-term loan of up to $30 million." "" "" "30" "20" "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/3298db8d9ed575a0852576ba000e2b91?OpenDocument http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/c0f797370bbeebe7852576ba000e2b98?OpenDocument"
"25751" NA "Injazat Capital Limited is a venture capital & private equity fund management and advisory services company operating from Dubai, United Arab Emirates with fifteen investment professionals.  Injazat is registered under the laws of Dubai International Financial Centre (DIFC), regulated by Dubai Financial Services Authority (DFSA), and is owned by Gulf Finance House, a private Bahrain-based investment bank, Islamic Corporation for the Development of the Private Sector, the private sector arm of the Islamic Development Bank, and the principals of the Manager.  Injazat previously made 11 investments through a predecessor fund, of which three are fully realized." "2007-05-16" "2007-05-30" "Not found or country name unknown" "It is proposed that IFC invest up to $15 million, up to 20% of total commitments to the Fund." "" "" "" "15" "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/1f1bd41dc36a6593852576ba000e297c?OpenDocument"
"25757" NA "Ecobank Ghana Ltd (EBG) Ecobank Ghana (EBG) was incorporated in January 1989 as a private limited liability company.  Initially licensed to operate as a merchant bank by the Bank of Ghana, it began operating in February 1990.  EBG has grown consistently over the years to become one of the leading banks in Ghana and a well-recognized brand in the Ghanaian banking industry.  EBG acquired a universal banking license in 2003 and has since expanded its geographical reach and broadened its scope of financial services.  It is now the fourth largest bank in Ghana with 8.4% of the market in terms of asset size and a network of 25 branches.  Its shares were listed on the Ghana Stock Exchange in July 2006.  EBG is a 87.47% owned subsidiary of Ecobank Transnational International (ETI), one of the largest banking franchises in Sub-Saharan Africa head-quartered in Lome, Republic of Togo." "2008-06-04" "2008-11-27" "Ghana" "The proposed project will be implemented in Ghana under the IDA-IFC program for Sub-Saharan Africa and aims to encourage selected commercial banks to lend to SMEs. The RSF of $6.25 million will support a portfolio of up to $12.5 million. The proposed RSF is a risk-sharing facility developed under the IDA-IFC program for Sub-Saharan Africa and aims to encourage selected commercial banks to lend to SMEs.  The RSF, issued by IFC as facility agent for its account and for the account of the GoG, would cover up to 50% of the loan principal amount of the bank’s portfolio of selected SME loans, thus encouraging the bank to lend whilst ensuring good credit standards since the bank still retains 50% of the risk on the portfolio." "" "6.28" "" "" "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/ea0597dbb41f97db852576ba000e2ab2?OpenDocument"
"25761" NA "- Merchant Bank Ghana Ltd (MBG) Merchant Bank (Ghana) Limited (MBG) began operations in March 1972 and was the first merchant bank in Ghana.  It is currently the 5th largest bank in Ghana in terms of total assets, with a market share of deposits around 7.0%. The Bank has played a significant role in the development of the country’s merchant banking industry - achievements include:  - establishment of one of the first hire purchase and leasing companies (Merban Leasing),  - promotion and formation of the first discount house in Ghana – Consolidated Discount House,  - sponsorship and provision of registrar services to about 50% of the companies on the GSE,  - arrangement of the first housing finance institution in the country (now HFC Bank).   In 2003, MBG became a universal bank and re-aligned its operations in three business lines: Retail, Corporate and Investment.  In 2005, MBG created an SME unit as part of a strategic re-orientation of the bank and is one of the fastest growing banks in the country driven by its deposit growth and focus on the SME sector.  The Major Shareholders of MBG are Social Security National Investment Trust (SSNIT), the dominant social insurance scheme in Ghana and State Insurance Company (SIC), the leading insurance company in Ghana. SSNIT holds 68.75% and SIC 18.75% of MBG’s shares." NA NA "Ghana" "The proposed project will be implemented in Ghana under the IDA-IFC program for Sub-Saharan Africa and aims to encourage selected commercial banks to lend to SMEs. The LOC will lead to new lending of $7.5 million." NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/97b319b47e3661f3852576ba000e2a8f?OpenDocument"
"25762" NA "Unik’s largest shareholder is the Rio Bravo Group, a leading, Brazilian alternative asset management firm.  Other shareholders include senior management of the firm, as well as the Santa Cruz Group." "2008-05-29" "2008-05-29" "Brazil" "The total investment associated with this project will be BRL 16 million (approximately US$8 million at current exchange rates).  IFC will invest BRL 3 million of cash for an equity stake in Unik, and will also provide Unik with BRL 5 million of debt which is convertible into an additional equity stake of the company if certain operating performance targets are met in the future.  IFC’s investment and debt package will be accompanied by a BRL 3 million cash investment in the firm by Unik’s main shareholder (Rio Bravo Group), as well as a BRL 5 million investment package of equity and debt on the part of IIC that is undertaken on the same terms as IFC’s. The project will allow Unik to complete a comprehensive recapitalization of its liabilities, thereby positioning it to more effectively pursue various product development, growth, and expansion opportunities." "" "" "2.34" "1.4" "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/374aefb43b2af716852576c10080cd3a?OpenDocument"
"25763" "Sub-Saharan Africa" "The Sponsors are two Nigerian entrepreneurs, Koye Edu (50%) and Gbolly Balogun (50%).  Mr. Edu, a lawyer specializing in commercial and intellectual property matters, worked for Irving & Bonnar (an ex-IFC local counsel) in association with Bentley Edu & Co. for ten years before starting his own firm, Jackson, Etti & Edu, in 1996 with two other partners.  Mr. Balogun is an entrepreneur and property developer/manager with a good track record. The Sponsors started MPL in 1996 with a primary focus in property development and asset management." "2011-05-13" "2011-06-17" "Nigeria" "The total Project cost is estimated at $37.4 million. The proposed IFC investment is $7.5 million senior loan in AMHL for IFC’s own account and $7.4 million equity in MPL for IFC’s own account." "" "" "7.5" "7.4" "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/1a0c9059cf6ea37685257847000037b2?OpenDocument http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/58408e97042769e18525784500762408?OpenDocument"
"25765" "Latin America and the Caribbean" "Bauducco’s controlling interest is owned by Pandurata Participacoes S.A. and Bedece Comercio e Participacoes Ltda., the Bauducco family’s holding companies." "2007-06-22" "2007-06-27" "Brazil" "The proposed IFC investment in the project is a $30 million A Loan." "" "" "30" "" "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/4a75989f085f070a852576ba000e29d2?OpenDocument http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/fc16f087f4d003e1852576ba000e29d3?OpenDocument"
"25766" NA "The Trust Bank Limited was established in November 1, 1996 to take over the assets and liabilities of the liquidated Meridien BIAO Bank. It is currently owned by six institutions: Belgolaise Bank (35%), Social Security & National Insurance Trust (33.09%),  Holding Cofipa (10%), FMO (10%), African Tiger Mutual Fund (6%), and Ghana Reinsurance Company Limited (5.91%). TTB, a licensed commercial bank, provides general financial intermediation with a focus on universal retail banking services. The core of TTB’s customers are in the middle-tier market segment, mainly SMEs and corporate bodies engaged in sectors such as agribusiness, commerce, construction, manufacturing and services. TTB is considered one of the most SME friendly banks in Ghana. It is also one of the few banks that lends to schools; its school portfolio is currently the best performing of all its SME sectors." "2007-05-11" "2007-05-17" "Not found or country name unknown" "This transaction would be structured as a risk-sharing guarantee with TTB. IFC’s guarantee will cover 50% of the principal credit losses that are in excess of a 5% first loss threshold up to a maximum of 22 billion cedis (equivalent of $2.4 million) with respect to the credit performance of a pool of loans to schools originated by TTB. The Bank’s first-loss position would have to be fully exhausted before IFC would have to pay any guarantee claims under the program. The portfolio is expected to reach a size of 46 billion cedis ($5.1 million) over the next 24 months. Individual loan sizes are expected to range from 180 million cedis ($20,000) to 2.7 billion cedis ($300,000). Under the proposed structure, IFC would reimburse the Bank for half of the principal credit losses of the underlying loans (but only when credit losses exceed 5%).  IFC’s 47.5% share of the second loss guarantee represents our maximum potential liability under this structure.  IFC’s partial guarantee would be denominated in local currency." "" "2.37" "" "" "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/edfeb169024de23b852576ba000e29c4?OpenDocument"
"25769" "Middle East and North Africa" "PICO E&P is an Egyptian private oil and gas player, which holds assets in Egypt, Romania and Mexico. It is part of the family owned Pico Group that is engaged in different industry sectors (e.g. agriculture, food, energy, services, and real estate).  In Egypt, PICO E&P, directly or through its affiliates, owns interests in six offshore oil and gas assets (Zaafarana, Amal, Gemsa, Geisum and Tawila West, West Tawila Marine and South Ramadan).  In addition, PICO E&P owns interests in five onshore fields, formerly producing oil and gas fields in Romania, and an exploration, development and production service agreement in the Altamira area, Northern Mexico.  PICO E&P and the PICO Group are private companies, owned by the Diab family, a well-known Egyptian family, which has been operating businesses in Egypt for several decades." "2015-04-22" "2015-06-22" "Egypt" "The Total Project Cost is estimated at c. US$250 million.  IFC proposes to provide an up to US$75 million senior loan, as part of a larger reserve based lending facility of  US$250 million, in favor of Cheiron Finance Limited (the “Company”), a wholly owned subsidiary of PICO E&P. The mandated lead arrangers of the facility are HSBC, EBRD and IFC. The loan will be provided in two tranches, a commercial bank tranche of  US$100million and an IFC and EBRD tranche of approximately US$150 million(final amount will depend on the revised cash flow model), shared 50/50 between the two institutions." "" "" "75" "" "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/00f7cc166b8fc0c685257da30057444b?OpenDocument http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/b809d0315a1d4e8885257da300575633?OpenDocument"
"25770" NA "AccessHolding was founded in August 2006 by LFS.  The initial capital of the company is set at €18 million.  In addition to IFC and LFS, the shareholders of AccessHolding include the European Investment Bank, KfW, and Omidyar-Tufts Microfinance Fund OTMF. AccessHolding has invested in three commercial microfinance banks in Azerbaijan, Madagascar, and Mozambique, all of which are managed by its technical partner LFS.  The company plans to make at least seven further investments over the next four years.  Investment activity will be initially concentrated in Sub-Saharan Africa and Central Asia, and then expanded to other regions.  Portfolio MFIs will be developed through a combination of equity finance, management, and TA services.  Over time, AccessHolding will transform from an investment holding company into a controlling parent company of a global network of MFIs with a common brand identity. LFS was founded in 1997 as a consultancy firm with a focus on commercialization of micro and small business finance in developing and transition economies.  It is a private limited liability company under German corporate law, owned by three individual shareholders.  The majority of its assignments are on behalf of IFIs such as IFC, KfW, European Bank for Reconstruction and Development, and the African Development Bank, as well as technical co-operation agencies such as the Department for International Development. LFS has built a considerable track record in managing microfinance portfolios and institutions.  Since its inception, LFS has implemented more than 50 projects in 30 countries, building up lending portfolios in the order of magnitude of more than $200 million.  LFS’s portfolio of current long-term projects includes management service contracts with the three current AccessHolding investee banks (Micro Finance Bank of Azerbaijan, Socremo Banco de Microfinanças SA in Mozambique, and AccèsBanque Madagascar) as well as a downscaling project in Tajikistan.  Other recently completed long-term assignments include downscaling projects in Uzbekistan and Serbia, and an upgrading project in Mongolia." "2007-04-19" "2007-08-01" "Germany" "The proposed investment package amounts to up to $3 million in an equity investment and a local currency loan." "" "" "2.2" "0.79" "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/22959ace6cce5add852576ba000e29ba?OpenDocument"
"25774" NA "The company is controlled by Interros, a major Russian private investment company." "2007-03-28" "2007-03-30" "Not found or country name unknown" "The total project cost is estimated at $300 million. The proposed IFC investment is a $50 million A loan for IFC’s own account." "" "" "50" "" "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/a71ac087856e18bf852576c10080cd18?OpenDocument"
"25781" "Latin America and the Caribbean" "The sponsors are entities owned by the Queiroz Galvão family (Queiroz Galvão Group): QG, QGOG, and Constellation Overseas Ltd. (Constellation).  QG, a holding company of the Queiroz Galvão Group, was established in 1953 and is among the largest privately owned Brazilian conglomerates with assets and operations in construction and engineering, oil and gas, public concessions, real estate, steel, agribusiness and financial services.  QGOG, wholly-owned by QG, has operations in onshore drilling, exploration and production. It also operates two offshore drilling rigs (indirectly owned by Constellation through its subsidiaries), under service contracts with Petrobras. QGOG also has a portfolio of nine exploration and production blocks in Brazil." "2007-06-27" "2007-07-30" "Not found or country name unknown" "The total estimated project cost, including interest during the construction period, is $1,029 million. A $810.1 million debt financing for these rigs is being Lead Arranged by ING Bank N.V. IFC is considering providing an A Loan of up to $50 million for the project. The borrower(s) will be offshore entities designated by the sponsor." "" "" "50" "" "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/a416e2039b086609852576ba000e29a7?OpenDocument http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/d3a8569faecf9d4a852576ba000e29a6?OpenDocument"
"25782" NA "The process of planning, organizing, and obtaining authorization for The Bank started in June 2005 led by Sergio Gerardo González de la Garza and Gerardo José de la Garza Santos, who have substantial business experience operating through Landus Grupo Inmobiliario (LANDUS) along with Lic. Sergio G. González Lozano.  Together , Gerardo de la Garza Santos (Managing Director LANDUS) and his nephew, Sergio Gonzalez de la Garza (Director of LANDUS) own 71% with the remaining shares owned by eight local investors." "2007-06-19" "2007-06-27" "Not found or country name unknown" "IFC’s investment in Banco Amigo serves two purposes:  - the loan will provided long term funding for Banco Amigo to scale-up its loan portfolio as it begins grow its loan portfolio and intermediate savings; and  equity will allow IFC to be a long term partner and support Banco Amigo’s regional expansion, and the introduction of new products." "" "" "10.24" "7.17" "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/5fc67cadad17c064852576ba000e29dd?OpenDocument"
"25783" "Latin America and the Caribbean" "The project sponsor is CEPM Energy Ltd, a local private company owned 50% by Mr. Luis Rolando Gonzalez-Bunster and the remaining 50% by his business partner, Mr. Miguel Barletta. CEPM Energy Ltd owns 100% of CEPM.  Mr. Gonzalez-Bunster is an Argentinean entrepreneur and was a pioneer in the independent power producer (IPP) industry of the Dominican Republic.  Mr. Barletta is a prominent local businessman with ownership in several automobile dealerships in the Dominican Republic, Venezuela and Puerto Rico.  Mr. Gonzalez-Bunster also has other power investments in the country through his holding companies other than CEPM Energy Ltd., including:  - EGE Haina, as mentioned above,  - Transcontinental Capital Corporation, a 110 MW generator, and  - Compania de Electricidad de Puerto Plata , a 70 MW generator." "2007-06-20" "2007-06-28" "Macao" "The total project cost is estimated at $35 million.  IFC will provide a $20 million A Loan on a corporate finance basis. Corporación Interamericana para el Financiamiento de Infraestructura S.A. (CIFI) will supply $10 million and the remaining $5 million will be covered by the company’s internal cash generation." "" "" "20" "" "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/5627c9e3d812b550852576ba000e29f2?OpenDocument http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/a3b6f4dc1714f804852576ba000e29e6?OpenDocument"
"25786" NA "GAB was established in September 2007 and commenced operations in December 2007.  The Bank offers a wide range of Shariah compliant banking products and services and over the last five years has made considerable progress in raising awareness on Islamic banking in Kenya. The Bank was established by a group of institutional investors from the Gulf region and Kenya.  Shareholders representing 90% of the equity in GAB include: Shareholder  % Held  Description  Istithmar World  32.0%  Government of Dubai sovereign fund focusing on private equity and alternative investment  BMI Bank BSC (formerly Bank Muscat International BSC)  21.3%  Established by Bank Muscat Oman and registered in Bahrain as vehicle for investments outside Gulf Cooperation Council.   Mr. Abdullah Mohammed Al Romaizan  21.3%  A leading investor based in Saudi Arabia.   Gulf Cap Group  10.3%  Investment company based in Dubai.  PTA Bank  5.3%  Regional development finance institution set up by the member countries of Eastern and Southern Africa" "2012-12-13" "2013-02-28" "Not found or country name unknown" "The proposed IFC investment consists of a US$ 5million equity investment in GAB and a US$ 3 million trade line." "" "" "" "4.98" "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/907f076d78031df2852576ba000e2973?OpenDocument"
